Experiment,Category,accuracy,f1,precision,recall,auc,delta_f1
w/o ALL numerical,Ablation,0.35366528354080223,0.26574456950845676,0.5745352115669894,0.35366528354080223,0.5477712797117896,-0.612366273633107
Temporal: Year 2018,Temporal Shift,0.4108010551159239,0.3591102748543321,,,0.5862713876242387,-0.5190005682872316
FGSM (ε=1.0),Adversarial,0.48450899031811895,0.449862973902131,,,0.29081099495405444,-0.42824786923943275
Text-Only,Ablation,0.6300138312586445,0.5944100192839548,0.581842239572822,0.6300138312586445,0.5702720615078972,-0.283700823857609
Num Noise (σ=3.0),Numerical Robustness,0.6341632088520055,0.603756699222626,,,0.5147314176616584,-0.27435414391893775
w/o return_t1,Ablation,0.6838174273858921,0.6927069463440538,0.7967236624824297,0.6838174273858921,0.8329909290426286,-0.1854038967975099
CLS Pooling,Ablation,0.801106500691563,0.7895510438984057,0.7970816574145819,0.801106500691563,0.9060985933330126,-0.08855979924315804
w/o volatility_5,Ablation,0.7991701244813278,0.7975642566631616,0.7965027861059354,0.7991701244813278,0.8205357850364934,-0.08054658647840218
Numerical-Only,Ablation,0.8278008298755186,0.8333026628664111,0.8638181538837871,0.8278008298755186,0.9280252325578104,-0.044808180275152654
No Fusion Gate,Ablation,0.8387275242047026,0.8436804244013534,0.8700886932701047,0.8387275242047026,0.917000050233053,-0.034430418740210356
Text: Synonym Replace (rate=0.5),Text Robustness,0.8666666666666667,0.8663474860438449,,,0.9431855768169508,-0.011763357097718807
Text: Word Shuffle (rate=0.5),Text Robustness,0.8658367911479945,0.8676903907375035,,,0.9509824010974861,-0.010420452404060199
Text: Word Dropout (rate=0.5),Text Robustness,0.8683264177040111,0.8679466814131016,,,0.9523571329520337,-0.010164161728462129
w/o return_t5,Ablation,0.8719225449515906,0.8740181525871067,0.8799221337849755,0.8719225449515906,0.9437877986036626,-0.004092690554457046
Full Multimodal (Baseline),Ablation,0.8756569847856155,0.8781108431415637,0.886615119934023,0.8756569847856155,0.9521642486408776,0.0
Text: Char Noise (rate=0.5),Text Robustness,0.9192254495159059,0.9193378599936057,,,0.9771180483822126,0.041227016852042
